"","Neuroticism","Extraversion","Openness","Agreeableness","Conscientiousness","age","gender","home","drink"
"1",2.479,4.208,3.938,3.958,3.458,27,"Male","South","Yes"
"2",2.604,3.188,3.958,3.396,3.229,51,"Male","South","No"
"3",2.813,2.896,3.417,2.75,3.5,45,"Male","South","No"
"4",2.896,3.563,3.521,3.167,2.792,72,"Male","South","No"
"5",3.021,3.333,4.021,3.208,2.854,26,"Male","North","No"
"6",2.521,3.292,3.438,3.708,2.5,65,"Male","South","Yes"
"7",2.354,4.417,4.583,3.063,3.333,48,"Male","South","No"
"8",2.521,3.5,2.896,3.667,3.063,31,"Male","South","Yes"
"9",3.104,3.813,4.063,3.771,2.833,51,"Male","North","Yes"
"10",2.688,3.547,3.787,3.354,3.104,59,"Male","South","No"
"11",2.625,3.458,2.896,3.458,3.375,62,"Male","South","No"
"12",2.375,3.771,3.167,3.5,3.521,56,"Male","South","No"
"13",3.063,3.417,3.771,3.813,3.125,62,"Male","North","Yes"
"14",3.125,2.521,2.646,3.75,3.208,21,"Male","North","Yes"
"15",2.583,3.021,3.5,3.417,3.583,56,"Male","South","No"
"16",2.979,3.313,3.354,3.646,3.479,58,"Male","South","Yes"
"17",2.792,3.792,3.375,3.958,2.729,32,"Male","South","Yes"
"18",2.563,3.542,3.875,3.854,3.313,25,"Male","South","Yes"
"19",2.438,3.729,2.912,3.625,2.771,20,"Male","South","Yes"
"20",3.063,3.25,3.313,3.489,3.5,45,"Male","North","No"
"21",3.229,2.917,3.417,2.938,2.771,61,"Male","North","No"
"22",2.417,3.438,3.771,3.5,3.563,68,"Male","South","No"
"23",2.854,3.646,3.333,3.104,3.5,28,"Male","South","No"
"24",2.875,4.083,3.313,3,2.604,76,"Male","South","No"
"25",2.854,3.563,4.042,3.75,3.229,40,"Male","South","Yes"
"26",2.875,3.583,3.917,3.875,3.417,25,"Male","South","Yes"
"27",3.125,3.625,3.771,3.896,3.125,54,"Male","North","Yes"
"28",2.75,3.833,3.813,2.979,2.583,44,"Male","South","No"
"29",3.229,3.208,3.604,3.521,2.962,67,"Male","North","Yes"
"30",2.563,3.833,3.417,3.396,3.583,57,"Male","South","No"
"31",2.938,3.063,3.792,3.375,2.854,40,"Male","South","No"
"32",2.75,3.646,3.688,3.292,3.321,24,"Male","South","No"
"33",3.063,3.146,4.125,3.438,3.146,29,"Male","North","No"
"34",3.125,3.708,3.5,3.542,2.688,38,"Male","North","Yes"
"35",1.917,4.104,3.646,3.854,2.708,65,"Male","South","Yes"
"36",2.75,3.542,3.542,3.042,3.208,30,"Male","South","No"
"37",3.104,3.479,4.042,3.708,3.063,36,"Male","North","Yes"
"38",3.021,3.208,3.833,3.438,2.75,50,"Male","North","No"
"39",2.167,3.458,3.563,3.875,4,73,"Male","South","Yes"
"40",3.688,3.5,3.875,3.417,2.896,65,"Male","North","No"
"41",2.208,3.667,3.729,3.521,3.25,59,"Male","South","Yes"
"42",2.104,3.771,3.229,3.792,3.646,65,"Male","South","Yes"
"43",2.583,3.688,3.458,3.479,3.25,21,"Male","South","No"
"44",2.813,3.375,3.25,3.875,3.042,32,"Male","South","Yes"
"45",2.333,4.188,3.917,4.125,3.125,59,"Male","South","Yes"
"46",3.042,3.25,3.167,3.438,3.125,30,"Male","North","No"
"47",3.708,3.729,3.958,3.063,2.688,28,"Male","North","No"
"48",3,3.354,3.125,3.292,3.229,35,"Male","South","No"
"49",2.917,3.563,3.625,3.438,3,68,"Male","South","No"
"50",2.771,3.333,3.271,3.563,3.604,20,"Male","South","Yes"
"51",2.938,4.229,3.77,3.688,2.625,53,"Male","South","Yes"
"52",2.688,3.417,3.188,3.063,3.479,45,"Male","South","No"
"53",3.438,3.021,3.563,3.417,2.792,22,"Male","North","No"
"54",3.021,3.646,3.229,2.875,3.479,60,"Male","North","No"
"55",2.854,3.292,3.75,3.292,3.271,48,"Male","South","No"
"56",3.396,3,3.417,3.417,2.458,24,"Male","North","No"
"57",2.792,3.833,3.792,3.375,2.854,46,"Male","South","No"
"58",3.396,3.354,3.104,3.354,3.396,30,"Male","North","No"
